date,straddle_entry,straddle_exit,pl_points,pl_dollars
2021-10-25 11:00:00,13.89,15.279,-1.39,-138.9
2021-10-25 12:00:00,13.89,15.279,-1.39,-138.9
2021-10-25 13:00:00,13.89,15.279,-1.39,-138.9
2021-10-25 14:00:00,13.89,15.279,-1.39,-138.9
2021-10-25 15:00:00,13.89,15.279,-1.39,-138.9
2021-10-27 11:00:00,14.4,15.84,-1.44,-144.0
2021-10-27 12:00:00,14.4,15.84,-1.44,-144.0
2021-10-27 13:00:00,14.4,15.84,-1.44,-144.0
2021-10-27 14:00:00,14.4,15.84,-1.44,-144.0
2021-10-27 15:00:00,14.4,15.84,-1.44,-144.0
2021-10-29 11:00:00,16.8,18.480000000000004,-1.68,-168.0
2021-10-29 09:30:00,0.0,0.0,0.0,
2021-11-01 11:00:00,16.44,18.084000000000003,-1.64,-164.4
2021-11-01 12:00:00,16.44,18.084000000000003,-1.64,-164.4
2021-11-01 09:30:00,0.0,0.0,0.0,
2021-11-03 11:00:00,22.5,23.18,-0.68,-68.0
2021-11-03 12:00:00,22.5,22.2,0.3,30.0
2021-11-03 13:00:00,22.5,21.1,1.4,140.0
2021-11-03 14:00:00,22.5,24.34,-1.84,-184.0
2021-11-03 15:00:00,22.5,24.75,-2.25,-225.0
2021-11-05 11:00:00,15.3,16.830000000000002,-1.53,-153.0
2021-11-05 12:00:00,15.3,16.830000000000002,-1.53,-153.0
2021-11-05 13:00:00,15.3,16.830000000000002,-1.53,-153.0
2021-11-05 14:00:00,15.3,16.830000000000002,-1.53,-153.0
2021-11-05 15:00:00,15.3,16.830000000000002,-1.53,-153.0
2021-11-08 11:00:00,15.15,16.665000000000003,-1.52,-151.5
2021-11-08 12:00:00,15.15,16.665000000000003,-1.52,-151.5
2021-11-08 13:00:00,15.15,16.665000000000003,-1.52,-151.5
2021-11-08 14:00:00,15.15,16.665000000000003,-1.52,-151.5
2021-11-08 15:00:00,15.15,16.665000000000003,-1.52,-151.5
2021-11-10 11:00:00,16.0,14.170000000000002,1.83,183.0
2021-11-10 12:00:00,16.0,12.07,3.93,393.0
2021-11-10 13:00:00,16.0,9.870000000000001,6.13,613.0
2021-11-10 14:00:00,16.0,7.770000000000001,8.23,823.0
2021-11-10 15:00:00,16.0,7.490000000000001,8.51,851.0
2021-11-12 11:00:00,15.64,17.204,-1.56,-156.4
2021-11-12 12:00:00,15.64,17.204,-1.56,-156.4
2021-11-12 13:00:00,15.64,17.204,-1.56,-156.4
2021-11-12 14:00:00,15.64,17.204,-1.56,-156.4
2021-11-12 09:30:00,0.0,0.0,0.0,
